comparison,dataset_id,isolate_id,lineage_recomputed,cv_group,cohort_binary,fold,oof_probability,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,SHZY08,SNP_CLUSTER_01,NCG0008,1,4,0.3763011435183274,88.53885,25.998823,7.5344095,3.8165371,-0.18811303,-0.265891,-0.890057,-1.2804443,0.13049895,-0.24649341
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,SHZY19,SNP_CLUSTER_01,NCG0019,1,3,0.26870537600548183,89.95428,14.671046,10.954471,0.72707194,-0.3100724,0.4875765,-2.8216279,0.43888974,1.6853242,0.012308406
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,SHZY38,SNP_CLUSTER_01,NCG0037,1,0,0.1978286170961467,86.98666,10.748355,15.711294,6.9042554,0.07388252,-1.4556572,-1.6194845,-0.5042559,0.5039542,0.5217669
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,SHZY55,SNP_CLUSTER_01,NCG0054,1,1,0.145886002597985,90.53551,5.157826,14.005861,-1.5829651,0.47146884,0.86679614,-3.238129,-1.3405468,1.7294303,0.6285977
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,HPGP_GLOBAL,FRA-007,SNP_CLUSTER_01,NCG0140,0,1,0.10141190994044402,85.78829,4.7280693,19.805363,15.549005,-1.2729601,-1.5342658,2.3613153,-0.41312656,-1.9278388,0.008520472
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,HPGP_GLOBAL,FRA-011,SNP_CLUSTER_01,NCG0144,0,3,0.08252238687198257,89.298874,-4.3701115,16.403687,5.254105,-0.74017435,1.2470765,0.6601159,-0.8663753,0.80148953,-0.42000377
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,HPGP_GLOBAL,FRA-012,SNP_CLUSTER_01,NCG0145,0,3,0.07876344883959072,87.91339,-4.1738076,15.27168,8.978384,-1.5027411,3.2247744,3.7171383,2.5389154,1.2597917,-3.4065175
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,HPGP_GLOBAL,FRA-013,SNP_CLUSTER_01,NCG0146,0,4,0.11192582979457132,89.29204,-2.9016337,19.836056,6.796848,-1.09033,4.3371925,-1.4805462,0.8859726,0.8827307,1.965217
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,HPGP_GLOBAL,FRA-014,SNP_CLUSTER_01,NCG0145,0,3,0.07875070447865777,87.91303,-4.173782,15.267352,8.976587,-1.5094254,3.244545,3.7262573,2.5450697,1.2407999,-3.4242496
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,HPGP_GLOBAL,FRA-015,SNP_CLUSTER_01,NCG0147,0,3,0.08793237427562534,89.55766,-2.7576206,19.326332,7.7009015,-1.1791272,4.167435,-1.233743,0.0668804,0.598708,1.5521848
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,HPGP_GLOBAL,FRA-016,SNP_CLUSTER_01,NCG0148,0,4,0.08725994688469207,89.28429,-2.5031927,16.539598,6.6717772,-0.8346679,1.350407,-0.059608728,-2.2717905,0.32135287,-0.65297526
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,HPGP_GLOBAL,FRA-021,SNP_CLUSTER_01,NCG0153,0,3,0.08105400402642937,90.09456,-5.850355,15.9235935,3.8124547,-1.0217698,1.6599097,-0.40660736,-0.49237907,1.4989357,-1.2104645
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,HPGP_GLOBAL,GER-004,SNP_CLUSTER_01,NCG0154,0,3,0.12582858906854363,88.848564,0.0025401104,21.264595,7.466748,-0.6681617,1.5482249,-3.2285585,-1.7905682,2.6056798,0.36375192
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,HPGP_GLOBAL,GER-005,SNP_CLUSTER_01,NCG0155,0,3,0.1274172610456866,85.89801,2.5103447,19.354671,12.073676,-1.1747407,0.6974428,1.7494649,-0.21368718,0.07286694,-0.6640376
